case_id,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept_tag,severity
RW-001,Access-layer uplink to core switch is up but not forwarding traffic,SW2 Gi0/1 uplink to core SW1 Gi0/1; VLAN 10 data path,interface GigabitEthernet0/1 is in BLK state on VLAN 10,Spanning-tree blocking the uplink port,Layer 2,Spanning Tree,High
RW-002,Printer port went dark after a laptop was plugged into it,SW3 Fa0/8 configured with port-security max 1 sticky,Fa0/8 err-disabled; security violation; violation count 1,Port security violation from unauthorized MAC,Layer 2,Port Security,Medium
RW-003,LAN clients lose gateway reachability when the primary router reboots,R1 and R2 share virtual gateway 10.1.1.1 via HSRP group 1,R2: standby 1 state Listen; R1 unreachable,HSRP standby router not preempting to active,Layer 3,FHRP,High
RW-004,Site-to-site GRE tunnel between branch and HQ intermittently drops,Tunnel0 source Branch WAN; destination HQ WAN over ISP transit,"Tunnel0 is up, line protocol is down; keepalive mismatch",GRE tunnel keepalive/MTU mismatch between endpoints,Layer 3,GRE Tunnel,High
RW-005,New IPv6-only lab hosts cannot auto-configure an address,R1 Gi0/0 serves IPv6 SLAAC to lab VLAN 40,ipv6 nd ra suppress all configured on Gi0/0,Router advertisements suppressed; breaking SLAAC,Layer 3,IPv6,Medium
RW-006,DHCP client requests time out even though the DHCP server is reachable,SW1 uplink to DHCP server marked untrusted under DHCP snooping,dhcp snooping untrusted port dropping server reply,DHCP snooping blocking legitimate server replies,Layer 2,DHCP Snooping,High
RW-007,VoIP calls choppy during business hours while data transfers stay smooth,WAN edge router applies QoS policy-map VOICE-POLICY,policy-map VOICE-POLICY class VOIP drop count increasing,QoS policy misclassifying and dropping voice traffic,Layer 3/4,QoS,Medium
RW-008,eBGP peering with ISP never reaches Established state,R1 AS 65010 peers with ISP router AS 65020,neighbor 203.0.113.1 remote-as 65001; BGP state Idle,Remote-AS configured incorrectly for the BGP neighbor,Layer 3,BGP,High
RW-009,Server team reports only half of expected bandwidth on the trunk to distribution switch,Po1 between Access-SW and Dist-SW should bundle two links,Gi0/1 suspended; channel-misconfig; Gi0/2 channel mode active,LACP mode mismatch suspending one EtherChannel member,Layer 2,EtherChannel,Medium
RW-010,Two lab hosts intermittently disconnect each other from the network,Host A and Host B both statically assigned in VLAN 20,duplicate address 192.168.20.50 detected on VLAN 20,Duplicate static IP assignment between two hosts,Layer 3,Addressing,High
